	GSM6222612	GSM6222613	GSM6222614	GSM6222615	GSM6222616	GSM6222617	GSM6222618	GSM6222619	GSM6222620	GSM6222621	GSM6222622	GSM6222623	GSM6222624	GSM6222625	GSM6222626	GSM6222627	GSM6222628	GSM6222629
PRF1	17	74	58	18	24	72	41	27	17	95	296	140	102	80	81	95	73	171
APOL6	310	620	507	312	558	663	796	583	514	2866	8482	3429	2975	4362	4150	3665	3012	3553
RPL7	23865	29483	30936	39818	26781	45705	31484	25727	28959	20643	17849	21949	14455	18100	21974	21033	18181	24441
GATA3	5874	9882	11013	4583	7590	8040	8145	7475	8624	2987	3063	2623	2197	2665	3674	4991	4537	1868
IFIH1	287	522	500	364	553	337	519	492	468	1092	3987	1756	1569	2220	2189	1436	720	1372
IL1F10	128	158	237	144	127	195	171	124	94	56	86	83	76	61	70	65	62	56
DDX60	661	617	769	454	1059	814	892	924	966	1320	6882	2249	3455	3741	4402	2544	1546	1650
RPL15	21497	29981	31081	38260	25740	45023	31603	25154	26335	18923	19019	20574	15227	20333	22946	20683	18923	25572
SLC7A5	671	1313	1837	1497	2438	874	1163	1536	1745	10386	9383	6721	7146	12051	8086	4718	3943	12272
HIF1A	1322	1051	1401	1271	1832	1540	2151	2592	2240	5814	6482	5620	3127	5430	4524	4073	3978	13427
DKK1	16	23	28	27	25	20	24	29	23	8	2	4	8	2	7	3	3	10
ICOS	1	21	2	2	2	12	24	4	4	67	198	62	58	54	52	46	84	131
FRZB	416	646	1027	781	546	890	1173	1069	526	191	128	464	180	577	500	563	269	595
IL36RN	1537	2646	2899	3273	2480	3173	3340	2103	2188	13994	20314	10440	11716	10019	11804	6747	10384	11588
RPS7	12403	14409	16815	23213	12717	24182	18462	12970	13765	9710	9744	10279	7693	11415	11084	10304	8491	12496
TRAF5	270	509	361	249	246	487	589	537	308	219	300	245	246	330	141	432	282	295
FCGR3A	33	102	59	98	48	102	104	76	23	204	683	355	272	216	331	330	309	476
GEM	119	430	439	234	291	440	383	321	278	246	253	216	143	204	171	261	107	496
VIM	18269	36935	28686	23620	20566	47978	39274	23045	17986	18566	20919	20086	15657	14784	18380	17817	23131	23102
CD8A	38	111	62	48	86	169	87	89	48	225	516	274	227	277	238	252	164	357
HK2	418	723	942	1040	1490	677	935	1719	1517	4481	6529	5212	3692	5411	4299	4094	3107	8120
OSMR	562	737	739	583	922	697	978	1244	922	2422	3002	2369	1590	2327	2264	1914	2838	5108
EOMES	3	16	8	5	8	14	11	9	4	19	47	46	36	33	15	35	15	41
ACP5	461	707	722	965	837	757	766	799	782	1831	2852	3038	1849	2936	2206	2577	2316	2053
XAF1	420	604	1293	409	536	1001	1231	729	490	1294	6812	2266	5774	7118	4650	4218	1471	1643
FOS	986	1366	4585	1189	3074	5074	6468	2826	3537	1165	387	493	861	1289	468	455	1189	672
CD28	4	27	12	6	24	47	59	29	18	173	177	104	46	93	75	93	119	212
TOMM7	3531	3634	4691	5514	3022	7544	4715	3785	3312	2225	2661	2575	1998	2854	2860	2510	2337	3019
CMAHP	515	976	1471	728	711	1030	1283	737	980	106	128	122	80	185	118	201	324	233
SLC7A11	60	154	125	47	163	115	117	96	146	1030	1129	814	636	843	605	489	553	1044
DDIT3	301	382	435	348	238	454	368	337	240	172	209	229	216	263	236	303	201	248
SPP1	1	2	6	7	7	7	18	7	0	48	32	49	17	21	24	29	4	32
ZC3H12A	536	569	679	581	1941	511	511	660	770	6971	10259	7861	8663	9789	10150	6890	5095	12994
TRIM22	434	945	954	402	796	1123	1137	962	678	1354	8404	2980	4107	6612	4484	4814	1698	3904
TYMP	542	1346	1118	1384	1128	1278	1264	958	885	9497	30950	7858	18863	25128	21380	15144	8594	21539
CCR7	19	35	37	20	45	20	70	23	13	236	463	170	223	192	136	112	127	255
GPT	483	947	1063	2011	1572	708	628	634	616	325	281	257	392	315	438	723	245	209
GPR35	48	68	126	18	65	70	89	82	40	18	29	27	38	42	21	66	29	51
CTLA4	4	29	11	6	4	8	26	10	1	70	213	64	115	79	73	81	32	101
SAMD9	106	128	136	179	313	240	303	219	171	1716	6534	4375	2662	3748	2715	2167	722	4127
PPARGC1B	275	299	318	302	770	256	410	597	356	1304	1206	1217	1363	1374	1459	1290	988	1416
LYZ	531	1091	995	1268	654	2287	2155	686	490	4797	7244	3966	2620	2757	1103	2205	2202	6504
PFDN5	3197	4740	5065	6694	3655	7516	5185	3872	3721	2333	2512	2603	1834	2726	2696	2625	2448	2881
BGLAP	28	64	49	26	21	37	44	46	17	10	16	12	20	21	11	13	16	11
IFI16	1985	2513	2692	1648	2845	3002	3161	2606	2797	8556	12842	10647	6352	10484	10107	7957	7179	12821
ACKR2	21	68	50	34	61	48	63	25	32	858	638	504	340	377	254	236	533	354
JUND	3676	3893	5821	5721	5118	7930	5193	4503	6325	3244	3525	3206	4793	3502	4106	2721	3340	4357
PER1	3195	7686	13116	2205	5150	7410	7287	2847	4421	969	1948	813	2704	2606	3151	771	1064	958
ZNF483	224	197	249	158	110	298	270	379	187	99	122	145	93	135	100	182	128	114
CD36	435	1856	1553	1559	1407	2148	2704	1162	1368	4332	6600	6466	7465	8457	7192	8671	7111	3706
PRDM1	537	1034	1020	1168	1182	825	1328	860	1022	3004	4694	3431	3026	2489	3429	2281	2433	3730
GJB2	1349	1380	3749	2818	2806	2128	3249	4965	3678	64488	90408	92711	44112	73982	66903	40904	38785	115153
SYT1	3	43	44	37	20	21	42	25	39	14	13	7	13	4	13	25	8	21
KLRB1	6	28	40	16	10	50	17	6	5	62	33	116	71	44	37	55	44	146
S100A12	1	5	5	0	10	10	5	1	1	782	903	1007	843	1212	852	687	385	1639
S100A8	65	434	388	386	3893	185	2026	936	1360	133147	160725	156027	101757	177411	142933	113632	80752	162953
STAT3	3976	5694	6006	3376	9020	4567	5826	6901	6898	16942	23378	16687	13885	16818	19566	14505	11752	28849
SLC1A2	50	61	35	51	85	70	77	132	89	40	54	31	23	23	19	27	41	22
ITGAL	38	199	151	53	118	216	197	76	48	320	484	328	259	325	186	332	342	549
CXCR2	84	172	138	96	176	137	112	108	141	1023	1409	1257	627	720	1289	766	189	814
STAT1	1429	1638	1976	1343	2470	2558	2167	2281	2445	7494	24127	10245	10173	13884	13669	12573	6123	10686
ACP7	144	902	738	731	676	376	624	338	203	4366	6627	4074	5277	3884	3677	3347	3589	3897
RPL41	7939	10874	12532	15880	8644	17038	11011	8564	8684	7134	7882	7874	5909	7372	8164	6751	5916	7464
PLA2G4D	294	734	1161	372	1285	588	664	824	627	10122	18713	11060	14648	14925	14105	8902	10599	9736
CCL20	0	38	34	19	18	3	4	0	7	62	114	118	211	87	199	78	70	96
EFCAB7	144	268	298	164	200	262	282	249	218	141	128	146	84	163	175	193	128	132
CAPS2	67	55	71	84	75	111	90	137	102	40	28	24	31	42	46	49	25	49
CD63	4955	11359	10139	9141	5549	12889	11121	6977	6339	4954	6328	5779	3644	4849	5487	5383	7254	10286
S100A9	77	430	331	248	5157	323	2131	557	972	182198	240816	231147	169007	262610	224978	159909	116870	257930
HYAL4	33	10	72	20	40	7	36	33	50	325	643	564	426	523	448	495	144	613
NOD2	418	736	576	422	558	527	674	736	785	2342	2652	2273	2603	3167	2537	2691	2273	2016
EFCAB13	72	115	152	113	80	193	194	162	97	48	40	60	56	95	55	127	74	41
GJB6	1029	887	3263	2184	1349	2338	2653	4570	2622	18982	20610	28537	13818	22575	14539	14468	11576	27714
MX1	433	414	1019	311	471	723	769	530	416	2436	16568	5935	7539	12256	9962	4929	2172	8424
CD3E	41	167	79	38	83	179	122	81	49	423	549	345	271	293	225	246	271	490
RPS19	18927	24164	25096	31759	19408	36466	25550	19038	22501	14779	17825	16667	13509	17786	20781	18541	15143	19731
CCND1	6066	12188	12544	5333	10977	11583	9082	10633	10557	5388	3991	4013	3958	4064	6421	3409	5253	2475
PI3	87	173	183	75	825	86	173	82	97	75302	127198	125561	57480	85380	74670	58951	19422	155270
SOCS1	50	96	89	109	75	185	121	72	43	183	502	219	181	272	223	158	321	510
IL18	2542	3117	3084	3509	2853	3467	3556	2544	2735	1985	1996	1827	1738	2000	2225	2189	2510	1111
SMOX	199	507	390	622	559	502	489	380	297	1487	1692	1927	1777	1078	1108	1099	1153	1262
FUT2	152	109	164	83	105	115	239	217	79	514	1226	1450	591	857	821	585	874	945
RPS21	7083	10639	12933	14725	6686	17122	9258	7206	8348	6510	6578	7711	5295	7622	7936	6812	6441	8234
ZNF415	133	199	131	221	212	180	248	195	136	56	19	58	41	80	104	95	27	63
SPON2	607	1285	1356	1162	926	2071	2243	1357	847	388	250	429	354	646	700	646	549	500
PPARGC1A	376	188	337	499	491	312	509	767	529	56	18	138	41	122	165	78	73	184
TGFBR3	1078	1971	1804	1344	2673	2115	2421	2178	2520	1103	1091	1013	870	1162	1493	919	1214	1639
CD38	2	10	10	6	0	11	11	8	5	55	109	100	27	62	34	65	33	84
PTPN22	32	46	45	35	37	80	59	50	27	119	236	222	113	377	74	260	87	390
